open,close,low,high,vol00,sdate
1529.95,1489.577,1472.381,1530.918,96554.48,201207
1489.65,2449.355,1408.435,2878.789,179382.35,201208
2449.279,3148.801,2342.614,3616.344,472217.69,201209
3148.741,2750.067,2542.933,3341.678,403638.49,201210
2750.212,2850.335,2597.72,2892.611,590641.57,201211
2849.609,2961.487,2767.196,3177.922,482278.86,201212
2961.433,2959.499,2756.5,2967.909,575407.35,201213
2959.498,2816.596,2753.921,2976.995,444939.87,201214
2816.656,2553.515,2349.732,2915.837,644370.02,201215
2553.454,2166.085,2102.007,2628.961,615659.35,201216
2166.244,2192.733,2061.773,2358.477,644989.09,201217
2193.072,1803.456,1797.436,2196.187,729073.01,201218
1803.713,1732.378,1497.299,1890.054,441595.68,201219
1731.996,1734.459,1680.704,1881.602,246972.74,201220
1734.384,1612.022,1567.583,1740.636,328450.49,201221
1610.809,1685.735,1577.618,1729.81,376269.15,201222
1685.878,1966.163,1633.034,2182.68,137286.56,201223
1965.165,1773.488,1707.061,2048.984,535486.75,201224
1773.024,1665.261,1611.876,1803.16,372920.93,201225
1665.137,1538.893,1512.157,1699.168,427381.77,201226
1539.074,1344.007,1331.732,1593.986,328442.38,201227
1343.609,1297.234,1246.912,1425.58,318608.42,201228
1297.313,1286.59,1092.862,1333.974,78572.46,201229
1286.529,1439.698,1145.105,1490.043,273595.74,201230
1439.833,1485.821,1361.571,1741.627,3285440.49,201231
1486.646,1354.12,1265.537,1495.076,3875117.72,210101
1355.006,1317.21,1281.348,1415.504,340208.42,210102
1317.417,1357.712,1250.586,1561.674,442434.9,210103
1359.984,1294.185,1237.221,1378.391,274093.05,210104
1294.232,1242.184,1210.515,1319.82,293544.1,210105
1241.697,1236.64,1223.151,1328.772,282558.64,210106
1236.573,1193.208,1165.052,1242.864,212515.34,210107
1187.784,1226.291,1176.879,1249.732,239777.07,210108
1226.546,1295.186,1212.409,1328.79,245624.44,210109
1295.25,1308.986,1242.698,1378.619,748804.04,210110
1308.9,1212.14,1176.92,1320.419,189247.32,210111
1211.896,1238.364,1209.345,1271.974,402238,210112
1240.821,1241.142,1220.332,1278.72,239283.21,210113
1272.452,1266.795,1233.315,1298.075,511814.41,210114
1266.317,1233.483,1221.817,1276.922,478914.42,210115
1233.439,1454.512,1232.617,1459.315,238554.07,210116
1454.405,1345.463,1300.675,1468.875,306424.4,210117
1345.417,1298.543,1276.058,1345.417,261426.06,210118
1297.363,1360.147,1288.867,1409.312,227794.15,210119
1359.074,1401.96,1330.636,1417.996,258877.19,210120
1401.415,1318.729,1301.523,1407.334,260004.86,210121
1318.125,1299.644,1221.252,1320.134,185984.16,210122
1300.431,1338.213,1289.048,1370.184,262307.42,210123
1338.251,1430.489,1329.791,1456.587,323820.01,210124
1430.245,1435.8,1408.026,1458.122,380823.72,210125
1435.824,1387.077,1361.661,1451.54,319089.22,210126
1387.085,1351.003,1322.1,1404.279,291125.34,210127
1350.983,1384.088,1328.031,1398.116,254460.35,210128
1381.406,1328.709,1311.473,1396.738,274635.41,210129
1328.986,1272.978,1264.288,1330.12,265725.77,210130
1272.704,1220.984,1220.984,1275.921,82779.16,210131
1220.022,1158.74,1141.458,1240.312,185316.09,210201
1159.024,1223.402,1155.385,1259.8,233096.01,210202
1223.478,1206.302,1186.223,1244.347,283661.81,210203
1206.333,1164.388,1161.305,1212.877,262515.64,210204
1164.382,1209.608,1159.398,1218.894,256941.06,210205
1209.839,1178.592,1169.561,1219.79,230503.47,210206
1178.777,1158.649,1150.739,1178.777,288709.27,210207
1158.624,1134.793,1123.389,1167.137,339140.3,210208
1134.812,1120.732,1087.908,1141.87,264107.35,210209
1120.778,1124.871,1107.51,1169.968,297328.74,210210
1125.022,1192.618,1119.22,1198.167,352535.38,210211
1192.963,1202.36,1157.738,1267.506,303523.83,210212
1202.25,1236.776,1178.859,1248.37,264104.35,210213
1236.873,1273.975,1200.372,1273.975,318912.54,210214
1274,1243.119,1227.697,1386.317,310885.05,210215
1243.109,1230.995,1201.75,1255.938,292481.96,210216
1230.946,1234.349,1199.279,1251.019,260017.79,210217
1234.378,1262.495,1225.067,1280.791,162070.3,210218
1262.485,1236.462,1223.874,1269.903,128432.32,210219
1236.384,1241.992,1207.805,1259.832,134459.3,210220
1241.985,1228.387,1211.065,1241.985,147791.2,210221
1228.52,1172.064,1103.55,1229.666,144939.47,210222
1172.033,1110.402,1058.907,1179.388,120606.21,210223
1110.386,1165.4,1099.183,1180.733,122179.92,210224
1165.441,1118.974,1118.974,1166.808,125530.04,210225
1119.013,1070.329,1055.744,1119.655,118728.92,210226
1070.402,1115.337,1056.177,1136.012,129773.83,210227
1115.27,1128.717,1066.853,1173.582,120651.17,210228
1128.751,1147.846,1120.007,1176.466,152038.92,210301
1147.628,1299.045,1141.593,1346.429,147221.63,210302
1299.552,1360.413,1296.003,1394.985,127353.59,210303
1361.272,1489.584,1316.363,1489.584,162800.73,210304
1489.524,1576.919,1430.362,1585.413,123212.65,210305
1576.888,1803.347,1562.165,1913.763,171490.21,210306
1802.216,1688.041,1640.705,1850.828,102893.07,210307
1687.378,1718.386,1669.221,1730.234,96620.29,210308
1718.394,1708.62,1614.443,1720.837,147092.22,210309
1708.887,1634.86,1634.86,1720.499,132687.02,210310
1634.852,1692.63,1634.852,1718.045,128646.36,210311
1692.675,1823.97,1684.769,1825.154,142431.43,210312
1824.15,2142.501,1813.459,2191.322,228970.66,210313
2142.341,2246.786,2077.107,2320.741,187030.95,210314
2245.969,2121.354,2039.119,2254.955,152593.69,210315
2121.345,2226.976,2063.278,2244.187,138637.91,210316
2227.148,2561.937,2219.302,2561.937,244454.41,210317
2560.584,2512.746,2422.598,2569.169,171215.52,210318
2512.664,2394.002,2319.557,2519.447,159959.99,210319
2393.802,1943.217,1882.679,2498.926,151361.82,210320
1943.953,2143.881,1919.707,2158.029,112950.24,210321
2145.36,2010.114,1993.553,2150.412,112081.29,210322
2010.173,1840.469,1718.413,2024.925,158653.56,210323
1840.617,1954.429,1758.936,2154.359,114050.27,210324
1953.982,1931.342,1884.519,2018.932,92754.4,210325
1931.684,1980.926,1908.963,2018.791,101888.55,210326
1980.21,1909.601,1872.634,1996.485,91637.82,210327
1909.697,1936.126,1876.413,1942.867,106724.74,210328
1935.418,2002.684,1933.837,2120.258,114206.65,210329
2002.635,1979.181,1945.58,2011.437,124435.56,210330
1979.348,1899.657,1878.966,1996.692,122549.89,210331
1899.716,1744.442,1742.443,1941.613,129147.55,210401
1744.244,1766.752,1733.771,1836.111,108056.1,210402
1766.718,1710.683,1699.951,1802.431,94649.44,210403
1711.235,1701.305,1673.085,1752.32,108036.39,210404
1701.512,1650.75,1650.644,1754.165,100066.91,210405
1651.881,1604.858,1517.72,1672.506,91687,210406
1604.781,1633.295,1510.556,1756.453,116138.51,210407
1633.261,1715.575,1633.15,1753.941,86331.64,210408
1715.551,1718.626,1690.501,1749.545,140336.04,210409
1718.607,1672.232,1672.071,1729.638,113706.88,210410
1672.264,1713.618,1618.753,1737.123,67559.38,210411
1713.419,1641.825,1632.807,1713.471,111148.91,210412
1641.901,1871.179,1623.482,1890.142,165472.1,210413
1870.521,1745.08,1702.533,1928.988,108096.89,210414
1745.446,2010.497,1716.035,2079.608,157662.22,210415
2010.257,2048.775,1924.887,2070.248,117594.89,210416
2048.108,2017.969,1981.045,2058.711,130045.6,210417
2017.786,1951.701,1747.246,2037.173,122935.49,210418
1952.06,1893.613,1843.569,2025.551,113402.71,210419
1892.854,1981.075,1830.887,2032.551,110173.42,210420
1981.072,1716.453,1706.755,1984.487,103629.32,210421
1716.606,1533.232,1533.232,1716.606,87672.02,210422
1533.315,1538.878,1335.68,1591.526,90808.99,210423
1541.537,1447.061,1425.289,1541.537,89416.99,210424
1446.748,1451.65,1391.322,1505.192,97419.6,210425
1451.468,1631.699,1451.468,1637.08,109798.32,210426
1631.557,1509.716,1503.366,1632.67,102744.72,210427
1510.474,1582.914,1504.064,1662.438,108543.29,210428
1582.985,1522.581,1492.013,1590.57,106877,210429
1522.467,1427.011,1385.412,1522.467,98840.8,210430
1427.01,1366.705,1339.597,1474.003,99068.21,210501
1366.674,1340.093,1330.594,1380.217,94397.31,210502
1340.281,1357.961,1333.558,1394.628,70658.65,210503
1358.343,1206.822,1206.409,1370.233,128397.63,210504
1207.376,1213.646,1191.099,1299.175,83720.38,210505
1213.54,1175.162,1175.162,1239.175,79149.01,210506
1175.694,1373.141,1138.193,1430.515,92977.14,210507
1373.128,1220.698,1207.287,1392.284,89729.75,210508
1235.029,1178.349,1135.826,1317.161,77028.07,210509
1178.642,1118.165,1096.177,1277.566,77974.9,210510
1119.808,1205.893,1070.852,1239.199,88302.84,210511
1205.718,1174.537,1130.995,1270.547,67967.64,210512
1177.213,1189.279,1072.234,1217.707,72038.16,210513
1189.527,1188.026,1098.007,1262.214,86824.34,210514
1189.219,1149.124,1143.204,1239.26,71000.63,210515
1148.127,1081.718,1048.862,1190.313,59319.56,210516
1082.267,1117.356,1023.394,1132.85,54123.53,210517
1116.857,1115.863,1070.233,1173.912,69087.6,210518
1115.691,808.278,776.563,1121.274,60433.76,210519
