open,close,low,high,vol00,sdate
27033,27293,27033,27329,5023.3,050225
27391,26884,26784,27391,8739.75,050228
27033,27099,27024,27160,4379.96,050301
27125,27125,26997,27320,8501.04,050302
27301,27099,27014,27320,3506.88,050303
27233,27348,27214,27366,3741.13,050304
27301,27409,27301,27552,4915.7,050307
27482,27233,27196,27482,8195.07,050308
27329,27061,27014,27329,4326.16,050309
27214,27160,27071,27256,6473.61,050310
27256,26946,26858,27256,4804.75,050311
26989,26989,26766,27007,13401.08,050314
27052,26677,26659,27071,7712.03,050315
26616,26420,26374,26686,25171.41,050316
26517,26508,26340,26545,2198.93,050317
26392,26392,26232,26536,14404.15,050318
26463,26286,26169,26481,7480.04,050321
26453,26295,26240,26508,2611.4,050322
26295,26582,26295,26634,3079.88,050323
26722,26590,26563,26784,6862.48,050324
26722,26572,26572,26722,2729.08,050328
26590,26481,26463,26677,5891.9,050329
26517,26901,26517,26901,3414.97,050330
26901,26642,26608,26901,10071.25,050331
26803,26411,26358,26858,3863.3,050401
26545,26545,26411,26677,2418.62,050404
26793,27080,26784,27089,5119.68,050405
27133,27099,27080,27284,13682.35,050406
27080,27375,26909,27384,11291.79,050407
27348,27177,27125,27399,6196.75,050408
27301,27150,27125,27301,4675.87,050411
27071,27329,26901,27348,4181.62,050412
27375,27455,27214,27571,4713.98,050413
27525,27348,27293,27525,12866.44,050414
27437,27482,27437,27749,45327.32,050415
28016,27293,27099,28016,12931.47,050418
27339,27275,27099,27418,10388.43,050419
27348,26937,26876,27348,4854.05,050420
27256,27301,27061,27329,4813.7,050421
27418,27206,27080,27418,8912.37,050422
27301,27266,27150,27391,3861.03,050425
27301,27099,27099,27375,3868.9,050426
27061,27301,26937,27366,3800.55,050427
27150,27169,27125,27348,3898.04,050428
27284,27571,27133,27571,4817.08,050429
27704,27686,27543,27704,5634.17,050502
27704,27669,27552,27793,32909.18,050503
27793,27945,27659,27954,5968.09,050504
28016,27936,27819,28016,7139.33,050505
28150,27810,27810,28150,19049.75,050506
27893,28016,27741,28034,11612.31,050509
28060,27838,27785,28060,6164.26,050510
27793,27954,27677,27990,6427.64,050511
28016,27919,27856,28106,8030.32,050512
27909,27731,27525,27973,20493.33,050513
27838,28060,27793,28060,7324.24,050516
28060,28042,27785,28069,16014.68,050517
28159,28106,28034,28222,7046.3,050518
28150,28097,27945,28195,5495.14,050519
27275,28078,27275,28150,3490.05,050520
28069,28132,27981,28222,5700.24,050523
28195,28167,28106,28241,6054.41,050524
28195,27990,27883,28195,8391.19,050525
